[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000817s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000876s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000274s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000312s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000483s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000540s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007574s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007631s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000503s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000837s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000351s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000466s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002275s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000430s ]
[ 2013-04-01T08:54:21+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000477s ]
[ 2013-04-01T08:54:22+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:54:22+08:00 ] /weibo/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000445s ]
[ 2013-04-01T08:54:22+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000533s ]
[ 2013-04-01T08:54:22+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:54:22+08:00 ] /weibo/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000543s ]
[ 2013-04-01T08:54:22+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000604s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000461s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000550s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000258s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000294s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.003425s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | SQL: SELECT * FROM `hd_admin` WHERE ( `username` = 'admin' ) LIMIT 1   [ RunTime:0.001355s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | NOTIC: [8] Use of undefined constant user - assumed 'user' LoginAction.class.php 第 36 行.
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | SQL: UPDATE `hd_admin` SET `logintime`=1364777695,`loginip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.000237s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000222s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000262s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.005557s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005608s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000204s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000289s ]
[ 2013-04-01T08:54:55+08:00 ] /weibo/admin.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000162s ]
