[ 2013-03-04T11:57:38+08:00 ] /weibo/index.php/Login | ERR: (ThinkException) 模板不存在[./Index/Tpl/default/Login/index.html]
[ 2013-03-04T11:57:52+08:00 ] /weibo/index.php/Login/register | ERR: (ThinkException) 模板不存在[./Index/Tpl/default/Login/register.html]
[ 2013-03-04T11:59:52+08:00 ] /weibo/index.php/Login/register | ERR: (ThinkException) 模板不存在[./Index/Tpl/default/Login/register.html]
[ 2013-03-04T11:59:54+08:00 ] /weibo/index.php/Login/register | ERR: (ThinkException) 模板不存在[./Index/Tpl/default/Login/register.html]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.000389s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.000450s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000228s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000261s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.000160s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.000195s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.005189s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005271s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.000369s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.000377s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000127s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.000246s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001246s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000253s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.000287s ]
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/Images/bottom_logo.gif | ERR: (ThinkException) 非法操作Images
[ 2013-03-04T12:00:23+08:00 ] /weibo/index.php/Login/Css/regis.css | ERR: (ThinkException) 非法操作Css
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.000466s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.000586s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000269s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000303s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.000159s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.000195s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.004131s ]
[ 2013-03-04T12:01:18+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004178s ]
