[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000407s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000481s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.001440s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000347s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.001327s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001425s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.000843s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT COUNT(*) AS tp_count FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','2') ) LIMIT 1   [ RunTime:0.000320s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','2') ) ORDER BY weibo.time DESC LIMIT 0,20   [ RunTime:0.000360s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '3' ) LIMIT 1   [ RunTime:0.000251s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '3' ) LIMIT 1   [ RunTime:0.000253s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_template ] --START--
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000224s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000265s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /Library/WebServer/Documents/weibo/Index/Lib/TagLib/TagLibHdtags.class.php on line 18 and defined TagLib.class.php 第 111 行.
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /Library/WebServer/Documents/weibo/Index/Lib/TagLib/TagLibHdtags.class.php on line 39 and defined TagLib.class.php 第 111 行.
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000353s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000286s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.001044s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000361s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000421s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT `username`,`face80` AS `face`,`follow`,`fans`,`weibo`,`uid` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000793s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000491s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | SQL: SELECT `uid`,`username`,`face50` AS `face`,COUNT(f.`follow`) AS `count` FROM `hd_follow` f LEFT JOIN `hd_userinfo` u ON f.`follow` = u.`uid` WHERE f.`fans` IN (2) AND f.`follow` NOT IN (2) AND f.`follow` <>1 GROUP BY f.`follow` ORDER BY `count` DESC LIMIT 4 [ RunTime:0.001048s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.045480s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045586s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001021s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000323s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000124s ]
[ 2013-03-28T17:07:27+08:00 ] /weibo/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000337s ]
